MemberID,MemberName,MemberType,ContactPerson,ContactEmail,Address,State,Zipcode,Phone,TollFree,Fax,Login,pass,Associations,ServiceCountry,Logo,Description,InterstateLicense,USDot,MC,Active,DateAdded,MemberState,CanadianLicense
1,A A A Moving & Storage,standard,Peter Abrahams,aaamoving@movinguwithcare.com,717 E Ship Creek Ave,AK,99501,9072763506,63506907272,2763506907,aaamoving,aaamoving,,,NoLogo.gif,No description,1,124,4232,1,9/24/2007,,
2,Superior Moving Service,full,James Agee,Superior@movinguwithcare.com,803 Bidwell Ave,AK,99701,9074516683,16683907452,4516683907,Superior,superior,,,NoLogo.gif,No description,1,4352,3321,1,1/30/2008,,
3,Airvan Moving Group,transport,Rudolfo A. Anaya,Airvan@movinguwithcare.com,28685 S Tongass Hwy,AK,99901,9072250415,50415907222,2250415907,Airvan,airvan,,,NoLogo.gif,No description,,,,1,10/9/2007,,
4,A A A Moving & Storage,storage,Sherwood Anderson,aaamoving1@movinguwithcare.com,11590 W Rezanof,AK,99615,9074872140,72140907482,4872140907,aaamoving1,aaamoving1,,,NoLogo.gif,No description,,,,1,9/25/2007,,
5,John s General Contracting Inc,packing,Isaac Asimov,John@movinguwithcare.com,PO Box 870069,AK,99687,9073768895,68895907372,3768895907,John,john,,,NoLogo.gif,No description,,,,1,12/14/2007,,
6,Fauver s House Leveling & Construction Co.Inc,standard,James Baldwin,Fauver@movinguwithcare.com,9901 Mountain Laurel Dr.,AL,36575,2516491012,91012251642,6491012251,Fauver,fauver,,,NoLogo.gif,No description,1,3242,1212,1,11/20/2007,,
7,A Mini Flex Storage,full,Toni Cade Bambara,amini@movinguwithcare.com,4220 Troy Highway,AL,36116,3342814446,14446334282,2814446334,amini,amini,,,NoLogo.gif,No description,1,3211,2322,1,10/18/2007,,
8,Admiral Movers Inc.,transport,John Barth,Admiral@movinguwithcare.com,200 Newell Parkway,AL,36110,3342626666,26666334262,2626666334,Admiral,admiral,,,NoLogo.gif,No description,,,,1,10/4/2007,,
9,Advance Moving & Storage AMS,storage,Saul Bellow,Advance@movinguwithcare.com,225 Hunter Loop Road,AL,36108,3342628004,28004334262,2628004334,Advance,advance,,,NoLogo.gif,No description,,,,1,10/5/2007,,
10,Twin Lakes Movers,standard,Stephen Vincent Benet,Twin@movinguwithcare.com,622 Ray St,AR,72653,8704255007,55007870422,4255007870,Twin,twin,,,NoLogo.gif,No description,1,1233,2321,1,2/5/2008,,
11,A-1 Razorback Moving Company,full,Ambrose Bierce,razorback@movinguwithcare.com,6500 Holt Road,AR,72117,5019453338,53338501942,9453338501,razorback,razorback,,,NoLogo.gif,No description,1,2123,3221,1,1/15/2008,,
12,Baach Moving & Storage,transport,Arna Bontemps,Baach@movinguwithcare.com,231 Newman Dr,AR,72117,5015416683,16683501542,5416683501,Baach,baach,,,NoLogo.gif,No description,,,,1,10/23/2007,,
